Date,Mkt-RF,SMB,HML,RMW,CMA,RF,Mom,PC1,PC2,PC3,PC4,PC5,Regime
1999-02-28,-4.08,-5.15,1.95,-1.23,4.08,0.35,-0.14,1.0557234529499973,1.240433490604334,-1.1374600056590127,-0.007580397406084296,1.0648835601958428,1
1999-03-31,3.48,-4.37,-2.61,-4.05,-1.07,0.43,-1.21,1.3214011838589956,0.9269939307445196,-0.929450329759028,-0.06451799237049671,0.8321366512288507,1
1999-04-30,4.34,4.52,2.4,-2.47,0.84,0.37,-8.98,1.609351190233448,0.06517341583759792,-0.3795640719013455,1.7508877923554846,0.07100094870051442,1
1999-05-31,-2.46,3.75,2.49,0.95,3.18,0.34,-5.25,1.4042536721805836,1.052893911272049,-0.8088392373128237,-0.049327592619488075,0.7843328294390731,1
1999-06-30,4.77,2.34,-3.22,0.93,-2.91,0.4,4.66,1.5981070409775253,1.0395314142416945,-0.6274408450971936,-0.41636399261776164,0.7166448195779689,1
1999-07-31,-3.49,2.54,-0.18,0.29,3.27,0.38,1.7,1.932755272348354,0.14421798542289105,-0.19736131341760105,0.7920838823545142,0.5786494910292058,1
1999-08-31,-1.37,-1.67,-1.93,-0.24,0.72,0.39,2.98,1.8046864206237379,0.6811215615748909,-0.43956878897555113,0.39566335711725203,0.9537598479483831,1
1999-09-30,-2.77,2.48,-2.9,-0.96,-0.99,0.39,6.38,1.883774996559807,0.502387211683509,-0.3209600359957156,1.0318740484653393,0.802454854034556,1
1999-10-31,6.09,-7.13,-2.88,-1.75,-0.87,0.39,5.45,1.9029320537608476,0.6635118631024111,-0.41126721057473276,0.2700808439904153,1.2623078931340739,1
1999-11-30,3.41,5.69,-5.65,-4.18,-1.84,0.36,5.49,2.0924536029467733,0.4606447971419864,-0.382670537591242,0.07313939818814325,1.1221428335536694,1
1999-12-31,7.66,5.1,-7.66,-8.0,-5.87,0.44,13.1,2.3183929618313774,0.38446709372016447,-0.2866533516383729,0.18615272338510308,1.0550981689860532,1
2000-01-31,-4.74,4.21,-1.12,-6.15,4.56,0.41,1.86,2.490373464335348,0.9213035842607203,-0.2950659237023885,0.36892445011183367,-0.00042787948595845326,1
2000-02-29,2.45,18.46,-9.77,-18.95,-1.13,0.43,18.0,2.6602809756869434,0.8489831376855977,-0.39602165561547414,0.879416184623182,-0.0933966317880344,1
2000-03-31,5.21,-15.54,8.5,11.65,-1.2,0.47,-6.85,2.60235485998034,0.7110733577488887,-0.5280187791246038,1.3509912467157252,-0.18570820270737914,1
2000-04-30,-6.35,-4.75,6.45,8.07,5.63,0.46,-8.6,2.18988843504425,1.2597234228660068,-1.191021863279051,-0.22526100753040249,1.8669916061143466,1
2000-05-31,-4.39,-3.86,4.59,4.05,1.47,0.5,-8.99,2.465071892568769,1.1215877262364031,-0.7770765671931177,0.4634629083153205,1.6458849800197188,1
2000-06-30,4.68,9.95,-8.04,-8.31,-3.17,0.4,16.6,2.769155431354033,0.15255373613836615,-0.3828624292985975,1.4723473376324527,0.9692319464356428,1
2000-07-31,-2.48,-0.94,8.06,5.72,2.98,0.48,-0.16,2.454940040628558,1.0565482512265938,-0.7771439012807482,0.3756842820431458,-0.22943231493138563,1
2000-08-31,7.03,-0.95,-1.37,-3.06,1.21,0.5,5.59,2.22803106944549,1.2921832269252675,-1.0578818056746293,-0.6093995721602007,-0.02634899882948899,1
